                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.65082,                0.85004,                 1.0472,                0.88107,                0.87864,                0.93165,                0.77251,                0.81012,                0.82863,                 1.0393,             0.00022091,             0.00022091,             0.00022091
                     36,                0.64402,                0.85608,                 1.0416,                0.87352,                 0.8532,                0.93591,                0.76225,                0.86321,                0.88965,                 1.0689,             0.00021762,             0.00021762,             0.00021762
                     37,                0.62927,                0.82743,                 1.0347,                0.88116,                0.88541,                0.93473,                0.77864,                0.77977,                0.79176,                 1.0226,             0.00021432,             0.00021432,             0.00021432
                     38,                0.63478,                0.82151,                 1.0329,                0.86595,                0.85928,                0.93657,                0.74813,                0.88135,                0.81197,                 1.1036,             0.00021102,             0.00021102,             0.00021102
                     39,                0.63097,                0.83557,                  1.041,                0.91521,                0.86673,                0.94886,                0.77548,                0.80989,                0.75642,                 1.0587,             0.00020773,             0.00020773,             0.00020773
                     40,                0.63613,                0.82087,                 1.0431,                0.87411,                 0.8795,                0.93656,                0.78027,                 0.7636,                0.80507,                 1.0062,             0.00020443,             0.00020443,             0.00020443
                     41,                0.64026,                0.82293,                 1.0473,                0.87647,                0.88479,                0.96079,                0.79897,                0.79534,                0.70713,                 1.0192,             0.00020113,             0.00020113,             0.00020113
                     42,                0.62271,                0.77927,                 1.0303,                0.90952,                0.84799,                0.95875,                0.77425,                 0.8585,                0.73754,                 1.0882,             0.00019784,             0.00019784,             0.00019784
                     43,                0.62243,                0.78768,                 1.0243,                0.90614,                0.86385,                0.95463,                0.80545,                 0.7276,                0.72533,                 1.0059,             0.00019454,             0.00019454,             0.00019454
                     44,                0.61555,                0.75883,                 1.0228,                0.88835,                0.88638,                0.92965,                0.75777,                0.85047,                0.74702,                 1.0765,             0.00019124,             0.00019124,             0.00019124
                     45,                0.62224,                0.77359,                 1.0294,                0.91545,                0.81826,                0.94465,                0.80137,                0.68066,                0.75875,                0.98208,             0.00018795,             0.00018795,             0.00018795
                     46,                0.62061,                0.75871,                 1.0237,                0.85706,                0.87893,                0.94842,                0.77365,                0.81641,                0.75565,                 1.0443,             0.00018465,             0.00018465,             0.00018465
                     47,                0.61599,                0.74608,                 1.0336,                0.91983,                0.87335,                0.94919,                0.76223,                0.88108,                0.69473,                 1.0874,             0.00018135,             0.00018135,             0.00018135
                     48,                0.61131,                0.72961,                 1.0275,                0.87859,                0.88506,                0.95515,                0.79713,                0.77375,                0.73401,                 1.0143,             0.00017806,             0.00017806,             0.00017806
                     49,                0.61481,                0.73141,                 1.0274,                0.91572,                0.86072,                0.95606,                0.77451,                0.88879,                0.69531,                 1.0811,             0.00017476,             0.00017476,             0.00017476
                     50,                0.60737,                0.71778,                 1.0227,                0.90962,                0.90025,                0.95314,                0.79788,                0.77309,                0.66526,                 1.0139,             0.00017146,             0.00017146,             0.00017146
                     51,                0.59146,                0.70654,                 1.0166,                0.93698,                 0.8659,                0.96263,                0.78722,                0.83519,                0.66825,                 1.0649,             0.00016817,             0.00016817,             0.00016817
                     52,                0.59261,                0.71318,                 1.0146,                0.89484,                0.85837,                0.94837,                0.79212,                0.77495,                0.70421,                  1.006,             0.00016487,             0.00016487,             0.00016487
                     53,                0.59139,                0.68823,                  1.012,                0.86966,                0.88921,                0.94857,                0.79015,                0.79576,                0.67535,                 1.0274,             0.00016157,             0.00016157,             0.00016157
                     54,                0.59209,                0.68491,                 1.0168,                0.92086,                0.87772,                0.96272,                0.80915,                0.76581,                0.64294,                 1.0259,             0.00015827,             0.00015827,             0.00015827
                     55,                0.58314,                0.67944,                 1.0077,                0.89731,                0.85619,                0.95145,                0.79989,                0.76633,                0.70121,                 1.0121,             0.00015498,             0.00015498,             0.00015498
                     56,                 0.5972,                0.70235,                 1.0197,                0.92321,                 0.8878,                0.96209,                0.80696,                0.75104,                0.64542,                 1.0133,             0.00015168,             0.00015168,             0.00015168
                     57,                 0.5936,                0.67143,                 1.0155,                0.92355,                0.84009,                0.94259,                0.79126,                0.76393,                0.68153,                 1.0076,             0.00014838,             0.00014838,             0.00014838
