                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.031,                 4.0323,                 1.3085,                0.34258,                0.23494,                0.15513,                0.12392,                0.88737,                 3.6513,                 1.1779,              8.281e-05,              8.281e-05,              8.281e-05
                      2,                0.90947,                 3.2898,                 1.2385,                0.30502,                0.49528,                0.40273,                  0.315,                0.88563,                 2.9332,                 1.1493,             0.00016524,             0.00016524,             0.00016524
                      3,                0.91542,                  2.841,                 1.2512,                0.28614,                0.69354,                0.49424,                0.37306,                0.96983,                 2.6939,                 1.2088,             0.00024684,             0.00024684,             0.00024684
                      4,                0.91371,                 2.5105,                 1.2409,                0.54626,                0.59979,                0.66058,                0.52374,                0.88827,                  2.288,                 1.1974,             0.00032762,             0.00032762,             0.00032762
                      5,                0.88684,                 2.3094,                 1.2135,                0.56884,                0.73488,                0.73046,                0.55291,                 0.9848,                 2.1867,                 1.2323,             0.00032641,             0.00032641,             0.00032641
                      6,                0.88428,                  2.144,                 1.2071,                0.66484,                0.66269,                0.78961,                0.60698,                0.92064,                 1.8616,                 1.1848,             0.00032476,             0.00032476,             0.00032476
                      7,                 0.8387,                 2.0126,                 1.1742,                0.65425,                0.68429,                0.80569,                0.64976,                 0.8478,                 1.8037,                 1.1586,             0.00032311,             0.00032311,             0.00032311
                      8,                0.82881,                  1.899,                 1.1728,                0.70395,                0.71856,                0.84105,                0.66616,                0.89037,                 1.6958,                 1.1494,             0.00032146,             0.00032146,             0.00032146
                      9,                0.81688,                 1.8011,                 1.1605,                0.78564,                0.77551,                 0.8682,                0.68968,                0.93478,                 1.4986,                  1.198,             0.00031981,             0.00031981,             0.00031981
                     10,                0.81578,                 1.7197,                 1.1582,                0.78367,                 0.8194,                0.89901,                0.71732,                0.87475,                 1.4309,                 1.1162,             0.00031816,             0.00031816,             0.00031816
                     11,                0.80246,                 1.6604,                 1.1508,                0.78267,                0.87684,                 0.9021,                0.70822,                0.93063,                 1.3636,                 1.1768,             0.00031652,             0.00031652,             0.00031652
                     12,                0.78358,                 1.5385,                 1.1348,                0.77063,                 0.8529,                0.89479,                0.70433,                0.93095,                 1.3654,                 1.1986,             0.00031487,             0.00031487,             0.00031487
                     13,                0.78082,                 1.5281,                 1.1299,                0.75761,                0.84555,                0.91559,                 0.7189,                0.91368,                 1.2299,                 1.1808,             0.00031322,             0.00031322,             0.00031322
                     14,                0.75224,                 1.4666,                  1.119,                0.87577,                0.79622,                0.92351,                0.72555,                0.94692,                 1.3447,                 1.2192,             0.00031157,             0.00031157,             0.00031157
                     15,                0.76081,                 1.4077,                  1.121,                0.89617,                0.81481,                0.91647,                 0.7614,                0.81188,                 1.1695,                 1.0959,             0.00030992,             0.00030992,             0.00030992
                     16,                0.75156,                 1.3658,                 1.1068,                0.78992,                 0.9032,                0.92179,                 0.7644,                0.77937,                  1.073,                 1.0953,             0.00030827,             0.00030827,             0.00030827
                     17,                0.75766,                 1.3625,                 1.1138,                0.84887,                0.82749,                0.90691,                 0.7447,                0.79703,                 1.1166,                  1.073,             0.00030663,             0.00030663,             0.00030663
                     18,                0.73549,                 1.2895,                 1.1016,                0.85253,                0.85357,                0.92475,                0.71809,                0.94928,                 1.0983,                 1.1847,             0.00030498,             0.00030498,             0.00030498
                     19,                 0.7355,                   1.23,                 1.0987,                0.86756,                 0.8738,                0.91592,                0.73065,                0.88037,                 1.0231,                 1.1576,             0.00030333,             0.00030333,             0.00030333
                     20,                0.73145,                 1.2154,                 1.0955,                0.86375,                0.86522,                0.92592,                0.75106,                 0.8039,                0.96125,                 1.1028,             0.00030168,             0.00030168,             0.00030168
                     21,                0.72011,                 1.2018,                 1.0937,                0.82603,                0.93128,                0.95076,                0.78274,                0.79344,                0.94558,                 1.0745,             0.00030003,             0.00030003,             0.00030003
                     22,                  0.729,                 1.2139,                 1.1012,                0.85724,                  0.912,                0.96014,                0.78797,                0.82406,                0.89438,                  1.106,             0.00029838,             0.00029838,             0.00029838
                     23,                0.72264,                 1.1997,                 1.0962,                0.92802,                0.87898,                0.95727,                0.77347,                0.83477,                0.86275,                 1.1072,             0.00029674,             0.00029674,             0.00029674
                     24,                0.70564,                  1.152,                  1.082,                0.86807,                0.89776,                0.94623,                0.75904,                0.84289,                0.88882,                 1.1109,             0.00029509,             0.00029509,             0.00029509
                     25,                0.71944,                 1.1163,                 1.0868,                0.90701,                0.86387,                0.94212,                0.77041,                0.83065,                0.90882,                 1.0741,             0.00029344,             0.00029344,             0.00029344
                     26,                0.70713,                 1.0947,                 1.0814,                0.91021,                0.88204,                0.95179,                0.74994,                0.91375,                0.88973,                  1.143,             0.00029179,             0.00029179,             0.00029179
                     27,                0.70763,                 1.0772,                 1.0819,                0.88208,                0.87713,                 0.9305,                0.75954,                0.85832,                0.87635,                 1.1061,             0.00029014,             0.00029014,             0.00029014
                     28,                  0.715,                 1.0756,                  1.082,                0.84646,                0.86882,                0.93546,                 0.7663,                0.81829,                0.93395,                  1.076,             0.00028849,             0.00028849,             0.00028849
                     29,                0.68843,                 1.0393,                 1.0693,                0.84153,                0.89863,                0.94585,                0.75059,                0.92457,                0.95149,                 1.1285,             0.00028685,             0.00028685,             0.00028685
                     30,                0.69906,                 1.0494,                 1.0716,                0.92422,                0.88652,                0.95844,                0.77984,                0.80097,                0.79275,                 1.0565,              0.0002852,              0.0002852,              0.0002852
                     31,                0.67924,                 1.0004,                 1.0698,                0.87629,                0.88733,                0.93279,                0.79109,                0.72831,                0.80099,                0.99342,             0.00028355,             0.00028355,             0.00028355
                     32,                0.68142,                0.97799,                 1.0658,                0.87191,                0.90394,                0.95259,                0.77058,                0.85604,                 0.8018,                 1.0885,              0.0002819,              0.0002819,              0.0002819
                     33,                0.67764,                 0.9851,                 1.0707,                0.90132,                0.90127,                0.96408,                0.75788,                0.92982,                0.78414,                 1.1224,             0.00028025,             0.00028025,             0.00028025
                     34,                0.66694,                 0.9338,                 1.0583,                 0.8803,                0.91479,                0.94437,                0.74714,                0.93228,                0.77364,                 1.1365,              0.0002786,              0.0002786,              0.0002786
                     35,                0.69718,                0.95583,                  1.069,                0.92359,                 0.8738,                0.96141,                0.75075,                0.95288,                0.77531,                 1.1359,             0.00027696,             0.00027696,             0.00027696
                     36,                0.67686,                 0.9511,                 1.0634,                0.89488,                0.89693,                0.95087,                0.75783,                0.89818,                0.80289,                 1.0894,             0.00027531,             0.00027531,             0.00027531
                     37,                0.65254,                0.89929,                 1.0462,                0.90421,                 0.8923,                0.95786,                0.78896,                0.81171,                0.76758,                 1.0432,             0.00027366,             0.00027366,             0.00027366
                     38,                0.67194,                 0.8862,                 1.0594,                0.90911,                0.87525,                 0.9522,                 0.7648,                0.89705,                0.73559,                 1.1145,             0.00027201,             0.00027201,             0.00027201
                     39,                0.65956,                0.90272,                 1.0562,                0.90926,                0.85976,                0.94831,                 0.7507,                0.92063,                0.76809,                 1.1295,             0.00027036,             0.00027036,             0.00027036
                     40,                0.67443,                0.92332,                 1.0643,                0.89606,                0.90109,                0.95887,                0.78056,                0.81123,                0.69993,                 1.0407,             0.00026871,             0.00026871,             0.00026871
                     41,                0.65195,                0.88389,                 1.0495,                0.91462,                 0.9051,                0.95175,                 0.7836,                0.79823,                0.70789,                 1.0409,             0.00026707,             0.00026707,             0.00026707
                     42,                0.64972,                0.86829,                 1.0456,                0.93962,                0.89679,                0.95915,                0.79342,                0.78781,                0.66328,                  1.034,             0.00026542,             0.00026542,             0.00026542
                     43,                0.65814,                0.87397,                 1.0514,                0.91117,                 0.9242,                0.96455,                0.79267,                0.80821,                0.68519,                 1.0363,             0.00026377,             0.00026377,             0.00026377
                     44,                0.65611,                0.84442,                  1.043,                0.90615,                 0.8986,                0.96408,                  0.772,                 0.9009,                0.69435,                 1.0974,             0.00026212,             0.00026212,             0.00026212
                     45,                0.64819,                0.85164,                 1.0448,                0.88525,                0.91627,                0.96331,                0.80549,                0.73972,                0.64978,                  1.018,             0.00026047,             0.00026047,             0.00026047
                     46,                0.65161,                0.86228,                  1.045,                0.91376,                0.83783,                0.94998,                 0.7608,                0.86344,                0.74764,                 1.0928,             0.00025882,             0.00025882,             0.00025882
                     47,                0.66021,                0.82583,                 1.0538,                0.92934,                0.90688,                0.94945,                0.75936,                0.89315,                0.67167,                 1.1056,             0.00025718,             0.00025718,             0.00025718
                     48,                0.64271,                0.81295,                 1.0476,                 0.9319,                0.89723,                0.96161,                0.79713,                0.77863,                0.66189,                 1.0129,             0.00025553,             0.00025553,             0.00025553
                     49,                0.64525,                0.81154,                 1.0413,                0.89982,                0.88867,                0.94835,                0.79228,                0.77049,                0.67552,                 1.0081,             0.00025388,             0.00025388,             0.00025388
                     50,                0.64176,                0.79779,                 1.0414,                0.92016,                0.87944,                0.94423,                0.79063,                0.76877,                0.68943,                 1.0304,             0.00025223,             0.00025223,             0.00025223
                     51,                0.62101,                0.77993,                 1.0325,                0.93234,                0.87901,                0.94853,                0.77846,                 0.8169,                0.67954,                 1.0389,             0.00025058,             0.00025058,             0.00025058
                     52,                0.63419,                0.80034,                  1.039,                0.90918,                0.88772,                0.96097,                0.79522,                0.78384,                0.66077,                 1.0075,             0.00024893,             0.00024893,             0.00024893
                     53,                 0.6303,                0.77936,                 1.0374,                  0.895,                0.87022,                0.94531,                0.77884,                0.81411,                0.69497,                  1.031,             0.00024729,             0.00024729,             0.00024729
                     54,                0.62524,                0.77167,                 1.0313,                0.90789,                0.84755,                0.94845,                 0.7874,                0.79932,                0.69893,                 1.0243,             0.00024564,             0.00024564,             0.00024564
                     55,                0.63199,                0.77035,                 1.0336,                0.92345,                0.87793,                 0.9623,                0.82185,                0.69093,                0.64012,                0.97465,             0.00024399,             0.00024399,             0.00024399
                     56,                0.64185,                0.80309,                 1.0437,                0.89012,                0.90792,                0.94947,                0.77609,                0.80077,                0.69133,                 1.0184,             0.00024234,             0.00024234,             0.00024234
                     57,                0.63399,                0.77142,                 1.0369,                0.90125,                 0.9033,                0.96255,                0.82303,                0.69131,                0.65545,                0.96743,             0.00024069,             0.00024069,             0.00024069
                     58,                0.61332,                0.74077,                 1.0255,                0.92693,                0.87661,                0.94664,                0.79382,                0.74844,                0.62189,                 1.0067,             0.00023904,             0.00023904,             0.00023904
                     59,                0.61259,                0.73259,                 1.0254,                0.90092,                0.88978,                0.95239,                 0.7781,                0.82376,                0.61866,                 1.0374,              0.0002374,              0.0002374,              0.0002374
                     60,                0.61224,                0.73726,                 1.0227,                0.92445,                0.86985,                0.95999,                0.79411,                0.79644,                0.62614,                 1.0226,             0.00023575,             0.00023575,             0.00023575
                     61,                 0.6253,                0.76113,                 1.0315,                0.90133,                0.84124,                0.93667,                0.74963,                0.85998,                0.78087,                 1.0574,              0.0002341,              0.0002341,              0.0002341
                     62,                0.61922,                 0.7248,                 1.0322,                0.92043,                0.88687,                0.95362,                 0.8123,                0.70514,                0.63536,                0.96633,             0.00023245,             0.00023245,             0.00023245
                     63,                 0.6049,                0.68236,                 1.0206,                0.91215,                0.88579,                0.95781,                0.77358,                0.86783,                0.62476,                 1.0708,              0.0002308,              0.0002308,              0.0002308
                     64,                0.62208,                0.70578,                 1.0272,                0.92638,                0.86728,                0.93273,                0.76896,                0.80454,                0.69287,                 1.0344,             0.00022915,             0.00022915,             0.00022915
                     65,                0.61138,                0.69986,                 1.0192,                0.91418,                 0.8551,                0.94499,                0.76647,                0.82318,                0.61342,                 1.0466,             0.00022751,             0.00022751,             0.00022751
                     66,                0.60534,                0.70328,                 1.0214,                0.89591,                0.88762,                0.94039,                 0.7667,                0.82397,                0.66839,                 1.0398,             0.00022586,             0.00022586,             0.00022586
                     67,                0.60805,                0.69379,                 1.0253,                 0.8913,                0.87968,                 0.9572,                0.80243,                0.76515,                0.65028,                 1.0115,             0.00022421,             0.00022421,             0.00022421
                     68,                0.60774,                0.71761,                 1.0292,                0.93216,                0.88367,                0.95753,                0.77639,                0.83302,                0.59129,                 1.0529,             0.00022256,             0.00022256,             0.00022256
                     69,                 0.5956,                0.67352,                 1.0172,                0.91707,                0.89655,                0.96243,                0.80801,                0.74733,                0.60799,                0.98421,             0.00022091,             0.00022091,             0.00022091
                     70,                0.61323,                0.70393,                 1.0268,                0.91982,                0.89738,                 0.9533,                0.80166,                0.77904,                0.59519,                  1.002,             0.00021926,             0.00021926,             0.00021926
                     71,                0.59691,                0.66203,                 1.0112,                0.93315,                0.90759,                0.95887,                0.77539,                0.85525,                 0.6066,                 1.0815,             0.00021762,             0.00021762,             0.00021762
                     72,                0.59673,                0.68059,                 1.0169,                0.95112,                0.87371,                0.96353,                0.78693,                0.83089,                0.57966,                 1.0462,             0.00021597,             0.00021597,             0.00021597
                     73,                0.60137,                0.65495,                 1.0197,                0.95336,                0.87685,                0.96193,                 0.7808,                0.83939,                0.56995,                  1.067,             0.00021432,             0.00021432,             0.00021432
                     74,                0.60959,                0.66986,                 1.0168,                0.90524,                0.88996,                0.95298,                0.79783,                0.74473,                0.58841,                 1.0015,             0.00021267,             0.00021267,             0.00021267
                     75,                 0.5976,                0.65031,                  1.015,                0.94873,                0.87928,                0.96104,                0.81689,                 0.7101,                0.55284,                0.97286,             0.00021102,             0.00021102,             0.00021102
                     76,                0.60325,                  0.662,                  1.017,                0.93343,                0.87464,                0.95935,                0.78272,                0.82344,                0.59301,                 1.0398,             0.00020937,             0.00020937,             0.00020937
                     77,                0.59063,                 0.6534,                 1.0125,                0.93346,                0.88177,                0.96772,                0.79349,                0.80094,                 0.5722,                 1.0342,             0.00020773,             0.00020773,             0.00020773
                     78,                0.57169,                0.64026,                 1.0082,                0.93637,                0.88162,                0.96078,                0.80067,                0.78257,                0.57976,                 1.0268,             0.00020608,             0.00020608,             0.00020608
                     79,                0.59974,                 0.6532,                 1.0227,                0.93835,                0.87628,                0.97144,                0.79944,                  0.801,                0.57057,                 1.0434,             0.00020443,             0.00020443,             0.00020443
                     80,                0.58072,                 0.6235,                 1.0055,                0.92256,                0.88582,                0.96073,                0.80035,                0.76624,                0.59836,                 1.0002,             0.00020278,             0.00020278,             0.00020278
                     81,                0.58592,                0.64057,                 1.0167,                0.93881,                0.89463,                0.95539,                0.78895,                0.78616,                0.53729,                  1.012,             0.00020113,             0.00020113,             0.00020113
                     82,                0.57828,                0.59608,                 1.0064,                0.93082,                0.87587,                 0.9465,                0.78649,                0.77948,                0.60847,                 1.0077,             0.00019948,             0.00019948,             0.00019948
                     83,                0.58173,                 0.6154,                 1.0093,                0.92732,                 0.9025,                0.96316,                0.80248,                0.75583,                0.53426,                 1.0077,             0.00019784,             0.00019784,             0.00019784
                     84,                0.58775,                0.63446,                 1.0115,                0.89548,                0.92166,                 0.9545,                0.79839,                 0.7285,                 0.5555,                0.99091,             0.00019619,             0.00019619,             0.00019619
                     85,                0.58261,                0.61453,                 1.0049,                0.89222,                0.90785,                0.96075,                0.79955,                0.75795,                0.56175,                 1.0014,             0.00019454,             0.00019454,             0.00019454
                     86,                0.59192,                0.64553,                  1.016,                0.92477,                0.85239,                0.94803,                0.79443,                0.74321,                0.60415,                  1.001,             0.00019289,             0.00019289,             0.00019289
                     87,                0.58512,                0.60564,                 1.0145,                0.93525,                0.85716,                 0.9705,                0.80843,                0.74798,                0.57451,                 0.9885,             0.00019124,             0.00019124,             0.00019124
                     88,                0.56829,                0.59881,                0.99979,                 0.9001,                0.83073,                0.94821,                 0.7839,                 0.7812,                0.64113,                 1.0039,             0.00018959,             0.00018959,             0.00018959
                     89,                0.57051,                0.61447,                 1.0048,                0.91903,                 0.8677,                  0.957,                0.78232,                0.81111,                0.59346,                 1.0378,             0.00018795,             0.00018795,             0.00018795
                     90,                0.56786,                0.59923,                0.99977,                0.91133,                0.87596,                0.95687,                0.80402,                0.74765,                0.58176,                 1.0017,              0.0001863,              0.0001863,              0.0001863
                     91,                0.57402,                0.59812,                 1.0025,                0.91283,                 0.8961,                 0.9637,                0.79524,                0.79526,                 0.5386,                 1.0232,             0.00018465,             0.00018465,             0.00018465
                     92,                0.58999,                0.59996,                 1.0105,                0.92238,                0.89566,                0.96976,                0.80737,                0.76493,                0.55439,                 1.0058,               0.000183,               0.000183,               0.000183
                     93,                0.56274,                0.57122,                 1.0006,                0.92276,                0.87281,                0.94037,                0.80157,                0.70062,                0.58304,                0.96555,             0.00018135,             0.00018135,             0.00018135
                     94,                0.56309,                0.59071,                0.99916,                0.92389,                0.90912,                0.97739,                0.82126,                0.72992,                0.53416,                0.98214,              0.0001797,              0.0001797,              0.0001797
                     95,                0.56052,                0.57621,                0.99638,                0.92142,                0.87637,                0.95979,                0.79553,                0.76425,                0.61965,                 1.0027,             0.00017806,             0.00017806,             0.00017806
                     96,                 0.5568,                0.57103,                0.99501,                0.89023,                 0.9187,                0.97005,                0.81143,                 0.7468,                0.53446,                0.99592,             0.00017641,             0.00017641,             0.00017641
                     97,                0.55291,                0.58478,                0.99759,                0.89506,                0.89872,                0.97352,                  0.799,                0.79963,                0.55784,                 1.0152,             0.00017476,             0.00017476,             0.00017476
                     98,                0.56435,                0.56405,                 1.0002,                0.92001,                0.92009,                0.95656,                0.79429,                0.78237,                 0.5579,                 1.0126,             0.00017311,             0.00017311,             0.00017311
                     99,                0.55948,                0.56748,                 1.0018,                0.93788,                 0.8939,                0.95457,                0.79242,                0.77882,                0.53728,                 1.0095,             0.00017146,             0.00017146,             0.00017146
                    100,                0.56405,                0.57141,                 1.0004,                0.92795,                0.88115,                0.95812,                 0.7965,                0.78443,                 0.5694,                 1.0053,             0.00016981,             0.00016981,             0.00016981
                    101,                0.56556,                0.58892,                 1.0026,                0.92027,                0.88655,                0.95284,                0.79815,                0.75479,                0.53572,                0.99296,             0.00016817,             0.00016817,             0.00016817
