                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.50597,                0.48086,                0.97299,                0.94537,                 0.8903,                0.97419,                 0.8221,                0.72016,                0.50956,                0.98254,             0.00010983,             0.00010983,             0.00010983
                      2,                0.53306,                0.50087,                0.98103,                0.93721,                0.87288,                  0.968,                0.79861,                0.78361,                0.55048,                 1.0268,             0.00021974,             0.00021974,             0.00021974
                      3,                0.56344,                0.55544,                0.99123,                0.90156,                0.87932,                0.95209,                0.77494,                0.85166,                0.63827,                 1.0676,             0.00032855,             0.00032855,             0.00032855
                      4,                0.57634,                0.56975,                 1.0029,                0.90717,                0.88313,                 0.9402,                0.79912,                0.70183,                0.56797,                0.95898,             0.00032805,             0.00032805,             0.00032805
                      5,                0.57127,                0.57596,                0.99561,                0.88661,                0.85987,                0.93212,                0.78789,                0.71986,                0.62705,                0.98019,             0.00032641,             0.00032641,             0.00032641
                      6,                0.58277,                0.59706,                 1.0065,                0.91689,                 0.8438,                 0.9198,                0.76479,                0.75274,                0.67065,                 0.9945,             0.00032476,             0.00032476,             0.00032476
                      7,                0.57394,                0.59478,                 1.0022,                0.91536,                0.87396,                0.94116,                 0.7916,                0.74754,                0.62995,                0.98048,             0.00032311,             0.00032311,             0.00032311
                      8,                0.57296,                0.59574,                 1.0057,                 0.9208,                0.83994,                0.94434,                0.76624,                0.86873,                0.66614,                 1.0734,             0.00032146,             0.00032146,             0.00032146
                      9,                0.59352,                0.59985,                 1.0108,                0.90731,                0.86916,                0.93251,                0.78916,                0.73462,                0.62049,                 0.9759,             0.00031981,             0.00031981,             0.00031981
                     10,                0.57811,                0.59487,                 1.0085,                0.89431,                0.90461,                0.95097,                 0.7799,                0.83254,                0.58079,                  1.039,             0.00031816,             0.00031816,             0.00031816
                     11,                0.57295,                0.59641,                0.99701,                0.89745,                0.86636,                0.94016,                0.79142,                0.76366,                0.65966,                0.99238,             0.00031652,             0.00031652,             0.00031652
                     12,                0.57957,                0.58772,                 1.0054,                0.90038,                 0.8445,                0.92298,                0.77579,                0.76745,                 0.6745,                0.99668,             0.00031487,             0.00031487,             0.00031487
                     13,                0.57394,                0.58862,                0.99724,                0.94033,                0.91062,                0.96184,                0.78465,                0.83512,                0.57997,                 1.0281,             0.00031322,             0.00031322,             0.00031322
                     14,                0.57606,                0.57459,                0.99717,                0.91489,                0.85986,                0.94527,                0.81696,                 0.6966,                0.59414,                 0.9648,             0.00031157,             0.00031157,             0.00031157
                     15,                0.57497,                0.56706,                0.99598,                0.89085,                0.84218,                0.93812,                0.78845,                0.74987,                0.67078,                0.97934,             0.00030992,             0.00030992,             0.00030992
                     16,                0.57254,                0.56788,                0.99763,                0.91115,                0.87107,                0.93618,                0.77059,                0.80497,                0.60404,                 1.0285,             0.00030827,             0.00030827,             0.00030827
                     17,                0.56827,                0.57541,                0.99449,                0.91993,                0.85441,                0.94685,                0.77663,                 0.8198,                0.63327,                 1.0266,             0.00030663,             0.00030663,             0.00030663
                     18,                0.57201,                0.57486,                0.99749,                  0.916,                0.89261,                0.94977,                0.78129,                0.81596,                0.58472,                 1.0207,             0.00030498,             0.00030498,             0.00030498
                     19,                0.57122,                0.57223,                0.99626,                0.89304,                0.87267,                0.93326,                0.75834,                0.84832,                0.61772,                 1.0334,             0.00030333,             0.00030333,             0.00030333
                     20,                0.58165,                0.58125,                0.99682,                0.92616,                0.87185,                0.95011,                0.79118,                0.81047,                 0.5653,                 1.0358,             0.00030168,             0.00030168,             0.00030168
                     21,                0.57103,                0.55772,                0.99525,                0.90752,                0.86447,                0.94126,                0.77953,                0.79124,                0.59032,                 1.0151,             0.00030003,             0.00030003,             0.00030003
                     22,                0.56899,                0.57867,                 1.0005,                0.91698,                0.84663,                0.92887,                0.78216,                0.73959,                0.60194,                0.98909,             0.00029838,             0.00029838,             0.00029838
                     23,                 0.5842,                0.57458,                0.99628,                0.87423,                0.87407,                0.92768,                0.77817,                0.73722,                0.61998,                0.99629,             0.00029674,             0.00029674,             0.00029674
                     24,                0.56529,                0.54579,                0.99499,                0.86298,                0.86084,                0.92789,                0.76652,                0.78734,                0.65756,                 1.0046,             0.00029509,             0.00029509,             0.00029509
                     25,                0.56121,                0.55533,                 0.9872,                0.87844,                0.87028,                0.92135,                0.77681,                 0.7451,                 0.6012,                0.98585,             0.00029344,             0.00029344,             0.00029344
                     26,                0.56642,                0.55801,                0.99293,                0.87392,                0.85118,                0.92755,                0.77241,                0.78242,                0.64453,                 1.0113,             0.00029179,             0.00029179,             0.00029179
                     27,                0.55753,                0.52817,                0.98695,                0.87243,                0.87152,                 0.9424,                0.77652,                0.82258,                0.60268,                 1.0319,             0.00029014,             0.00029014,             0.00029014
                     28,                0.54906,                0.51022,                0.98897,                 0.8344,                0.88012,                0.92145,                0.76273,                0.79848,                 0.6822,                 1.0244,             0.00028849,             0.00028849,             0.00028849
                     29,                0.55706,                0.53828,                0.99076,                0.87299,                0.86504,                0.92314,                0.77494,                0.74547,                0.65293,                0.99536,             0.00028685,             0.00028685,             0.00028685
