                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.73211,                0.81177,                 1.0651,                 0.8785,                0.84427,                0.91457,                0.74182,                0.80583,                0.65859,                 1.0243,              0.0093466,              0.0093466,              0.0093466
                     35,                0.71965,                0.81722,                  1.053,                0.89416,                 0.8668,                0.94251,                  0.757,                 0.8834,                0.65403,                 1.0719,              0.0093268,              0.0093268,              0.0093268
                     36,                0.73984,                0.82638,                 1.0647,                0.86394,                0.88048,                 0.9072,                0.74989,                0.82971,                0.70448,                 1.0409,               0.009307,               0.009307,               0.009307
                     37,                0.72272,                0.80681,                 1.0582,                0.90373,                0.82853,                0.91446,                0.74009,                0.85741,                0.70258,                 1.0277,              0.0092872,              0.0092872,              0.0092872
                     38,                0.72273,                 0.8108,                 1.0618,                0.89809,                0.80295,                0.91768,                0.69483,                  1.064,                0.75334,                 1.2268,              0.0092674,              0.0092674,              0.0092674
                     39,                0.71661,                 0.7949,                 1.0588,                0.90429,                 0.8502,                0.93429,                0.75831,                0.84334,                0.65793,                 1.0269,              0.0092476,              0.0092476,              0.0092476
                     40,                0.70221,                0.77234,                 1.0506,                0.86909,                0.86942,                0.90969,                0.69902,                  1.022,                0.68882,                 1.1414,              0.0092278,              0.0092278,              0.0092278
                     41,                0.71274,                0.79821,                 1.0519,                0.91504,                0.86361,                0.91207,                0.73094,                0.90873,                0.70366,                 1.0691,               0.009208,               0.009208,               0.009208
                     42,                0.70257,                0.78534,                 1.0512,                0.84131,                0.86833,                0.91949,                0.72052,                0.93149,                 0.7246,                 1.1105,              0.0091882,              0.0091882,              0.0091882
                     43,                0.70863,                0.77073,                 1.0529,                0.91642,                0.84232,                0.92245,                0.72352,                0.91329,                0.68309,                 1.0662,              0.0091684,              0.0091684,              0.0091684
                     44,                0.70809,                0.76226,                 1.0479,                0.90024,                0.83429,                0.92394,                0.74477,                0.83589,                 0.6651,                 1.0344,              0.0091486,              0.0091486,              0.0091486
                     45,                0.69853,                0.74638,                 1.0418,                0.90287,                0.84917,                0.93182,                0.76867,                0.80024,                0.62444,                0.99391,              0.0091288,              0.0091288,              0.0091288
                     46,                0.70432,                0.74934,                 1.0479,                0.93387,                0.83325,                 0.9592,                0.77183,                0.90126,                0.62545,                 1.0431,               0.009109,               0.009109,               0.009109
                     47,                0.68814,                0.74309,                 1.0402,                0.89183,                0.85645,                0.91731,                0.74943,                0.84241,                0.68595,                 1.0213,              0.0090892,              0.0090892,              0.0090892
                     48,                0.69524,                0.73132,                 1.0431,                0.89532,                0.86865,                0.93676,                0.75861,                0.86143,                0.62437,                 1.0298,              0.0090694,              0.0090694,              0.0090694
                     49,                0.69475,                0.73786,                 1.0451,                0.91298,                0.83052,                0.93188,                0.74271,                0.85443,                 0.6347,                 1.0343,              0.0090496,              0.0090496,              0.0090496
                     50,                0.69528,                 0.7457,                 1.0379,                0.89791,                0.86816,                 0.9318,                0.75167,                0.86754,                0.63154,                 1.0367,              0.0090298,              0.0090298,              0.0090298
                     51,                0.69555,                0.76018,                 1.0423,                0.83743,                0.87541,                 0.9187,                0.75886,                0.80516,                0.67905,                 1.0077,                0.00901,                0.00901,                0.00901
                     52,                0.69032,                0.75171,                 1.0437,                0.89574,                0.85624,                0.90402,                0.71449,                0.97377,                0.68864,                  1.097,              0.0089902,              0.0089902,              0.0089902
                     53,                0.70168,                0.73897,                 1.0401,                0.88027,                0.82883,                0.92452,                0.73578,                0.89278,                0.67948,                 1.0698,              0.0089704,              0.0089704,              0.0089704
